run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s04_vel_pi_staircase,evo_seed,0,,,,,,0.0012179142,0.27618081,1.2,,,,,,,1.5475,2.5503,0.7739,0.0,0.0698,0.005031,0.0,0.0,3.0,,,,,,200.231885,FAIL,vel error exceeded
2,s04_vel_pi_staircase,g000000_c0,0,,,,,,0.001,0.001,0.11015446747164757,,,,,,,0.1268,0.2654,1.1989,0.0,0.2788,0.004928,0.0,0.0,3.0,,,,,,200.842083,FAIL,vel error exceeded
3,s04_vel_pi_staircase,g000000_c1,0,,,,,,0.001,0.004115947695305518,1.2,,,,,,,0.1623,0.3541,1.1917,0.0,0.2747,0.00493,0.0,0.0,3.0,,,,,,200.83046,FAIL,vel error exceeded
4,s04_vel_pi_staircase,g000000_c2,0,,,,,,0.001,0.1840204900245105,1.2,,,,,,,1.4147,2.7287,0.8753,0.0,0.1049,0.005016,0.0,0.0,3.0,,,,,,200.333652,FAIL,vel error exceeded
5,s04_vel_pi_staircase,g000000_c3,0,,,,,,0.001,1.2148773949427687,1.2,,,,,,,6.0191,12.4122,0.3319,0.0,0.3407,0.004883,0.0,0.0,2.178,,,,,,201.274707,FAIL,vel error exceeded
6,s04_vel_pi_staircase,g000000_c4,0,,,,,,0.001,0.06129304183939555,1.2,,,,,,,0.7418,1.6454,1.0734,0.0,0.2078,0.004967,0.0,0.0,3.0,,,,,,200.635607,FAIL,vel error exceeded
7,s04_vel_pi_staircase,g000000_c5,0,,,,,,0.001,0.6322688711297517,1.2,,,,,,,1.9156,3.8385,0.6973,0.0,0.1897,0.004978,0.0,0.0,3.0,,,,,,200.653762,FAIL,vel error exceeded
8,s04_vel_pi_staircase,g000000_c6,0,,,,,,0.001,10.0,1.2,,,,,,,3.126,8.9023,0.0387,0.0,0.0,0.004072,0.0,13.0,0.308,,,,,,200.702897,FAIL,vel error exceeded
9,s04_vel_pi_staircase,g000000_c7,0,,,,,,0.001093148106272642,2.9120927776389425,1.2,,,,,,,6.9243,12.1987,0.1003,0.0,0.6199,0.005167,0.0,13.0,1.002,,,,,,202.111595,FAIL,vel error exceeded
10,s04_vel_pi_staircase,g000001_c0,1,,,,,,0.003718993713520874,0.11479144478975008,0.1995609495155518,,,,,,,1.1274,2.3664,0.9735,0.0,0.1544,0.004994,0.0,0.0,3.0,,,,,,200.479577,FAIL,vel error exceeded
11,s04_vel_pi_staircase,g000001_c1,1,,,,,,0.0012086148165098294,10.0,1.2,,,,,,,3.1395,8.9319,0.0388,0.0,0.0,0.004073,0.0,13.0,0.308,,,,,,200.70449,FAIL,vel error exceeded
12,s04_vel_pi_staircase,g000001_c2,1,,,,,,0.020283697852325186,0.1008121043403816,0.7227259230241669,,,,,,,1.0975,2.3101,0.971,0.0,0.1568,0.004993,0.0,0.0,3.0,,,,,,200.48777,FAIL,vel error exceeded
